scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
saasto;2034;kauto;23;73;49;70;79;72;40;52;52;25;42;39;42;39;40;174
saasto;2035;pauto;0;5;10;0;0;3;1;0;5;4;9;0;1;1;20;9
saasto;2035;kauto;23;73;50;70;79;73;40;53;53;26;42;39;42;40;41;175
saasto;2036;pauto;0;5;10;0;0;3;1;0;5;4;9;0;1;1;19;9
saasto;2036;kauto;24;74;50;71;79;73;41;53;53;26;42;39;42;40;41;176
saasto;2037;pauto;0;5;10;0;0;3;1;0;5;4;9;0;1;0;19;9
saasto;2037;kauto;24;74;50;71;80;73;41;53;53;26;43;40;42;40;42;177
saasto;2038;pauto;0;5;10;0;0;3;1;0;5;4;9;0;1;0;19;9
saasto;2038;kauto;24;74;50;72;80;74;41;53;53;26;43;40;42;40;42;178
saasto;2039;pauto;0;5;10;0;0;3;1;0;4;4;9;0;1;0;18;9
saasto;2039;kauto;24;75;51;72;81;74;41;54;54;26;43;40;43;40;42;179
saasto;2040;pauto;0;5;9;0;0;3;1;0;4;4;8;0;1;0;18;8
saasto;2040;kauto;24;75;51;72;81;74;41;54;54;26;43;40;43;41;43;179
saasto;2041;pauto;0;5;9;0;0;3;1;0;4;4;8;0;1;0;18;8
saasto;2041;kauto;24;76;51;73;81;75;42;54;54;26;43;40;43;41;43;180
saasto;2042;pauto;0;5;9;0;0;3;1;0;4;4;8;0;1;0;18;8
saasto;2042;kauto;24;76;51;73;82;75;42;55;55;26;44;41;43;41;44;182
saasto;2043;pauto;0;5;9;0;0;3;1;0;4;4;8;0;1;0;17;8
saasto;2043;kauto;24;76;52;73;82;75;42;55;55;27;44;41;44;41;44;182
saasto;2044;pauto;0;5;9;0;0;3;1;0;4;4;8;0;1;0;17;8
saasto;2044;kauto;25;77;52;74;83;76;42;55;55;27;44;41;44;41;45;184
saasto;2045;pauto;0;4;9;0;0;3;1;0;4;4;8;0;1;0;17;8
saasto;2045;kauto;25;77;52;74;83;76;43;55;55;27;44;41;44;42;45;184
saasto;2046;pauto;0;4;9;0;0;3;1;0;4;4;8;0;1;0;17;8
saasto;2046;kauto;25;77;52;74;83;77;43;56;56;27;45;41;44;42;46;185
saasto;2047;pauto;0;4;8;0;0;3;1;0;4;4;8;0;1;0;16;8
saasto;2047;kauto;25;78;53;75;84;77;43;56;56;27;45;42;44;42;46;186
saasto;2048;pauto;0;4;8;0;0;3;1;0;4;4;7;0;1;0;16;8
saasto;2048;kauto;25;78;53;75;84;77;43;56;56;27;45;42;45;42;46;187
saasto;2049;pauto;0;4;8;0;0;3;1;0;4;4;7;0;1;0;16;8
saasto;2049;kauto;25;79;53;76;85;78;43;56;56;27;45;42;45;42;47;188
saasto;2050;pauto;0;4;8;0;0;2;1;0;4;4;7;0;1;0;16;7
saasto;2050;kauto;25;79;53;76;85;78;44;57;57;27;45;42;45;43;47;189
pysahdys;2017;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
pysahdys;2017;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
pysahdys;2018;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
pysahdys;2018;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
pysahdys;2019;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
pysahdys;2019;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
pysahdys;2020;pauto;0;7;13;0;0;4;1;0;6;6;11;0;1;1;25;12
pysahdys;2020;kauto;22;68;46;65;73;67;38;49;49;24;39;36;39;37;35;163
pysahdys;2021;pauto;0;7;13;0;0;4;1;0;6;6;11;0;1;1;25;12
pysahdys;2021;kauto;22;68;46;66;74;68;38;49;49;24;39;37;39;37;36;164
pysahdys;2022;pauto;0;7;13;0;0;4;1;0;6;6;11;0;1;1;25;12
pysahdys;2022;kauto;22;69;46;66;74;68;38;49;49;24;40;37;39;37;36;164
pysahdys;2023;pauto;0;6;13;0;0;4;1;0;6;6;11;0;1;1;25;12
pysahdys;2023;kauto;22;69;47;66;74;68;38;50;50;24;40;37;39;37;36;165
pysahdys;2024;pauto;0;6;13;0;0;4;1;0;6;6;11;0;1;1;24;12
pysahdys;2024;kauto;22;69;47;67;75;69;38;50;50;24;40;37;40;37;37;166
pysahdys;2025;pauto;0;6;13;0;0;4;1;0;6;6;11;0;1;1;24;12
pysahdys;2025;kauto;22;70;47;67;75;69;38;50;50;24;40;37;40;38;37;166
pysahdys;2026;pauto;0;6;13;0;0;4;1;0;6;6;11;0;1;1;24;12
pysahdys;2026;kauto;22;70;47;67;76;69;39;50;50;24;40;38;40;38;37;167
pysahdys;2027;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
pysahdys;2027;kauto;23;70;48;68;76;70;39;51;51;25;41;38;40;38;38;169
pysahdys;2028;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
pysahdys;2028;kauto;23;71;48;68;76;70;39;51;51;25;41;38;40;38;38;169
pysahdys;2029;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
pysahdys;2029;kauto;23;71;48;68;77;70;39;51;51;25;41;38;41;38;38;170
pysahdys;2030;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
pysahdys;2030;kauto;23;72;48;69;77;71;39;51;51;25;41;38;41;39;39;171
pysahdys;2031;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
pysahdys;2031;kauto;23;72;49;69;77;71;40;52;52;25;41;38;41;39;39;172
pysahdys;2032;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
pysahdys;2032;kauto;23;72;49;69;78;71;40;52;52;25;42;39;41;39;40;173
pysahdys;2033;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
pysahdys;2033;kauto;23;73;49;70;78;72;40;52;52;25;42;39;41;39;40;173
pysahdys;2034;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
pysahdys;2034;kauto;23;73;49;70;79;72;40;52;52;25;42;39;42;39;40;174
pysahdys;2035;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
pysahdys;2035;kauto;23;73;50;70;79;73;40;53;53;26;42;39;42;40;41;175
pysahdys;2036;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
pysahdys;2036;kauto;24;74;50;71;79;73;41;53;53;26;42;39;42;40;41;176
pysahdys;2037;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
pysahdys;2037;kauto;24;74;50;71;80;73;41;53;53;26;43;40;42;40;42;177
pysahdys;2038;pauto;0;6;12;0;0;4;1;0;6;5;10;0;1;1;23;11
pysahdys;2038;kauto;24;74;50;72;80;74;41;53;53;26;43;40;42;40;42;178
pysahdys;2039;pauto;0;6;12;0;0;4;1;0;5;5;10;0;1;1;23;11
pysahdys;2039;kauto;24;75;51;72;81;74;41;54;54;26;43;40;43;40;42;179
pysahdys;2040;pauto;0;6;12;0;0;4;1;0;5;5;10;0;1;1;23;11
pysahdys;2040;kauto;24;75;51;72;81;74;41;54;54;26;43;40;43;41;43;179
pysahdys;2041;pauto;0;6;12;0;0;4;1;0;5;5;10;0;1;1;22;11
pysahdys;2041;kauto;24;76;51;73;81;75;42;54;54;26;43;40;43;41;43;180
pysahdys;2042;pauto;0;6;12;0;0;4;1;0;5;5;10;0;1;1;22;11
pysahdys;2042;kauto;24;76;51;73;82;75;42;55;55;26;44;41;43;41;44;182
pysahdys;2043;pauto;0;6;12;0;0;3;1;0;5;5;10;0;1;1;22;11
pysahdys;2043;kauto;24;76;52;73;82;75;42;55;55;27;44;41;44;41;44;182
pysahdys;2044;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
pysahdys;2044;kauto;25;77;52;74;83;76;42;55;55;27;44;41;44;41;45;184
pysahdys;2045;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
pysahdys;2045;kauto;25;77;52;74;83;76;43;55;55;27;44;41;44;42;45;184
pysahdys;2046;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
pysahdys;2046;kauto;25;77;52;74;83;77;43;56;56;27;45;41;44;42;46;185
pysahdys;2047;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
pysahdys;2047;kauto;25;78;53;75;84;77;43;56;56;27;45;42;44;42;46;186
pysahdys;2048;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
pysahdys;2048;kauto;25;78;53;75;84;77;43;56;56;27;45;42;45;42;46;187
pysahdys;2049;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
pysahdys;2049;kauto;25;79;53;76;85;78;43;56;56;27;45;42;45;42;47;188
pysahdys;2050;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;21;10
pysahdys;2050;kauto;25;79;53;76;85;78;44;57;57;27;45;42;45;43;47;189
