scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
eu80;1999;opetus;20
eu80;1999;teoll;0
eu80;1999;varast;0
eu80;1999;muut;25
eu80;2009;erpien;20
eu80;2009;rivita;14
eu80;2009;askert;23
eu80;2009;liike;25
eu80;2009;tsto;20
eu80;2009;liiken;25
eu80;2009;hoito;40
eu80;2009;kokoon;25
eu80;2009;opetus;20
eu80;2009;teoll;0
eu80;2009;varast;0
eu80;2009;muut;25
eu80;2010;erpien;17
eu80;2010;rivita;22
eu80;2010;askert;24
eu80;2010;liike;26
eu80;2010;tsto;21
eu80;2010;liiken;26
eu80;2010;hoito;41
eu80;2010;kokoon;26
eu80;2010;opetus;21
eu80;2010;teoll;0
eu80;2010;varast;0
eu80;2010;muut;26
eu80;2018;erpien;10
eu80;2018;rivita;20
eu80;2018;askert;22
eu80;2018;liike;25
eu80;2018;tsto;20
eu80;2018;liiken;25
eu80;2018;hoito;35
eu80;2018;kokoon;25
eu80;2018;opetus;20
eu80;2018;teoll;0
eu80;2018;varast;0
eu80;2018;muut;25
eu80;2019;erpien;10
eu80;2019;rivita;20
eu80;2019;askert;22
eu80;2019;liike;25
eu80;2019;tsto;20
eu80;2019;liiken;25
eu80;2019;hoito;35
eu80;2019;kokoon;25
eu80;2019;opetus;20
eu80;2019;teoll;0
eu80;2019;varast;0
eu80;2019;muut;25
eu80;2020;erpien;10
eu80;2020;rivita;20
eu80;2020;askert;22
eu80;2020;liike;25
eu80;2020;tsto;20
eu80;2020;liiken;25
eu80;2020;hoito;35
eu80;2020;kokoon;25
eu80;2020;opetus;20
eu80;2020;teoll;0
eu80;2020;varast;0
eu80;2020;muut;25
eu80;2021;erpien;10
eu80;2021;rivita;20
eu80;2021;askert;22
eu80;2021;liike;25
eu80;2021;tsto;20
eu80;2021;liiken;25
eu80;2021;hoito;35
eu80;2021;kokoon;25
eu80;2021;opetus;20
eu80;2021;teoll;0
eu80;2021;varast;0
eu80;2021;muut;25
eu80;2022;erpien;10
eu80;2022;rivita;20
eu80;2022;askert;22
eu80;2022;liike;25
eu80;2022;tsto;20
eu80;2022;liiken;25
eu80;2022;hoito;35
eu80;2022;kokoon;25
eu80;2022;opetus;20
eu80;2022;teoll;0
eu80;2022;varast;0
eu80;2022;muut;25
eu80;2023;erpien;10
eu80;2023;rivita;20
eu80;2023;askert;22
eu80;2023;liike;25
eu80;2023;tsto;20
eu80;2023;liiken;25
eu80;2023;hoito;35
eu80;2023;kokoon;25
eu80;2023;opetus;20
eu80;2023;teoll;0
eu80;2023;varast;0
eu80;2023;muut;25
eu80;2024;erpien;10
eu80;2024;rivita;20
eu80;2024;askert;22
eu80;2024;liike;25
eu80;2024;tsto;20
eu80;2024;liiken;25
eu80;2024;hoito;35
eu80;2024;kokoon;25
eu80;2024;opetus;20
eu80;2024;teoll;0
eu80;2024;varast;0
eu80;2024;muut;25
eu80;2025;erpien;10
eu80;2025;rivita;20
